"filename", "language", "Markdown", "YAML", "Makefile", "JavaScript", "Shell Script", "JavaScript JSX", "PostCSS", "XML", "JSON", "HTML", "Python", "pip requirements", "Ignore", "comment", "blank", "total"
"d:\DevThoughts\Makefile", "Makefile", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\DevThoughts\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\DevThoughts\backend\accounts\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\DevThoughts\backend\accounts\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"d:\DevThoughts\backend\accounts\api\serializers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 18, 66
"d:\DevThoughts\backend\accounts\api\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\DevThoughts\backend\accounts\api\views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 3, 7, 55
"d:\DevThoughts\backend\accounts\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"d:\DevThoughts\backend\accounts\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 7, 27
"d:\DevThoughts\backend\accounts\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\DevThoughts\backend\accounts\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 5, 18
"d:\DevThoughts\backend\accounts\signals.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 3, 16
"d:\DevThoughts\backend\accounts\tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 4
"d:\DevThoughts\backend\devthoughts\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\DevThoughts\backend\devthoughts\asgi.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 8, 5, 17
"d:\DevThoughts\backend\devthoughts\settings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 30, 30, 160
"d:\DevThoughts\backend\devthoughts\test_settings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 3, 26
